date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:15	208221/208221	---M--	200	added ('OK')	application/javascript	etag:%225af83f18-32d5d%22	http://web.derayah.com/wp-content/themes/deraya/vendors/charts/Chart.bundle.min.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/charts/Chart.bundle.min4a41.js	(from http://web.derayah.com/ar/)
14:47:15	1894/1894	---M--	200	added ('OK')	image/png	etag:%225af83f17-766%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/sa.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/sa.png	(from http://web.derayah.com/ar/)
14:47:17	89687/89687	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:09%20GMT	http://web.derayah.com/ar/products/derayah-income-generating-funds/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/products/derayah-income-generating-funds/index.html	(from http://web.derayah.com/ar/)
14:47:17	15715/15715	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sat,%2018%20Jan%202020%2012:45:09%20GMT	http://web.derayah.com/ar/products/%d8%b5%d9%86%d8%a7%d8%af%d9%8a%d9%82-%d8%af%d8%b1%d8%a7%d9%8a%d8%a9-%d9%84%d9%84%d8%aa%d8%b7%d9%88%d9%8a%d8%b1-%d8%a7%d9%84%d8%b9%d9%82%d8%a7%d8%b1%d9%8a/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/products/%d8%b5%d9%86%d8%a7%d8%af%d9%8a%d9%82-%d8%af%d8%b1%d8%a7%d9%8a%d8%a9-%d9%84%d9%84%d8%aa%d8%b7%d9%88%d9%8a%d8%b1-%d8%a7%d9%84%d8%b9%d9%82%d8%a7%d8%b1%d9%8a/index.html	(from http://web.derayah.com/ar/)
14:47:18	104805/104805	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:10%20GMT	http://web.derayah.com/ar/products/derayah-ipo-fund/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/products/derayah-ipo-fund/index.html	(from http://web.derayah.com/ar/)
14:47:19	1248/1248	---M--	200	added ('OK')	image/png	etag:%225af83f16-4e0%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/eg.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/eg.png	(from http://web.derayah.com/ar/)
14:47:19	106472/106472	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:10%20GMT	http://web.derayah.com/ar/products/derayah-free-style-fund/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/products/derayah-free-style-fund/index.html	(from http://web.derayah.com/ar/)
14:47:19	135775/135775	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:12%20GMT	http://web.derayah.com/ar/trade/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/trade/index.html	(from http://web.derayah.com/ar/)
14:47:20	308/308	---M--	200	added ('OK')	image/png	etag:%225af83f16-134%22	http://web.derayah.com/wp-content/themes/deraya/images/flags/bh.png	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/images/flags/bh.png	(from http://web.derayah.com/ar/)
14:47:23	120896/120896	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:15%20GMT	http://web.derayah.com/ar/platforms/derayah-global-platform/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/platforms/derayah-global-platform/index.html	(from http://web.derayah.com/ar/)
